./compare_output.py ../tiger2023 ../tiger2024

01001.csv: added 100 (1.59%), deleted 99 (1.57%), changed 4 (0.06%)
01003.csv: added 1160 (4.08%), deleted 1036 (3.64%), changed 4256 (14.97%)
01005.csv: added 152 (3.53%), deleted 157 (3.64%), changed 19 (0.44%)
01007.csv: added 57 (1.53%), deleted 48 (1.29%), changed 4 (0.11%)
01009.csv: added 293 (2.20%), deleted 285 (2.14%), changed 30 (0.23%)
01011.csv: added 85 (5.42%), deleted 73 (4.66%), changed 10 (0.64%)
01013.csv: added 205 (5.96%), deleted 182 (5.29%), changed 11 (0.32%)
01015.csv: added 761 (3.60%), deleted 731 (3.46%), changed 66 (0.31%)
01017.csv: added 312 (4.44%), deleted 288 (4.10%), changed 49 (0.70%)
01019.csv: added 208 (4.10%), deleted 185 (3.65%), changed 18 (0.35%)
01021.csv: added 251 (2.60%), deleted 247 (2.56%), changed 24 (0.25%)
01023.csv: added 43 (1.51%), deleted 44 (1.54%), changed 6 (0.21%)
01025.csv: added 120 (2.71%), deleted 115 (2.60%), changed 12 (0.27%)
01027.csv: added 56 (1.69%), deleted 53 (1.60%), changed 2 (0.06%)
01029.csv: added 99 (3.41%), deleted 89 (3.07%), changed 12 (0.41%)
01031.csv: added 214 (3.15%), deleted 195 (2.87%), changed 14 (0.21%)
01033.csv: added 360 (3.41%), deleted 351 (3.33%), changed 27 (0.26%)
01035.csv: added 90 (3.53%), deleted 82 (3.22%), changed 8 (0.31%)
01037.csv: added 40 (2.25%), deleted 41 (2.30%), changed 5 (0.28%)
01039.csv: added 237 (3.32%), deleted 226 (3.16%), changed 423 (5.92%)
01041.csv: added 116 (4.31%), deleted 105 (3.90%), changed 7 (0.26%)
01043.csv: added 657 (3.89%), deleted 660 (3.90%), changed 83 (0.49%)
01045.csv: added 238 (3.79%), deleted 218 (3.47%), changed 18 (0.29%)
01047.csv: added 242 (2.42%), deleted 234 (2.34%), changed 39 (0.39%)
01049.csv: added 248 (2.03%), deleted 244 (2.00%), changed 21 (0.17%)
01051.csv: added 705 (5.72%), deleted 653 (5.30%), changed 154 (1.25%)
01053.csv: added 76 (1.24%), deleted 73 (1.19%), changed 610 (9.94%)
01055.csv: added 450 (2.52%), deleted 434 (2.43%), changed 57 (0.32%)
01057.csv: added 100 (2.69%), deleted 89 (2.40%), changed 3 (0.08%)
01059.csv: added 172 (2.88%), deleted 155 (2.59%), changed 11 (0.18%)
01061.csv: added 117 (2.28%), deleted 101 (1.96%), changed 291 (5.66%)
01063.csv: added 43 (2.89%), deleted 37 (2.49%), changed 7 (0.47%)
01065.csv: added 91 (3.63%), deleted 81 (3.23%), changed 11 (0.44%)
01067.csv: added 85 (2.97%), deleted 78 (2.72%), changed 8 (0.28%)
01069.csv: added 159 (1.05%), deleted 148 (0.98%), changed 83 (0.55%)
01071.csv: added 209 (2.30%), deleted 197 (2.17%), changed 49 (0.54%)
01073.csv: added 3664 (4.11%), deleted 3500 (3.93%), changed 518 (0.58%)
01075.csv: added 92 (2.73%), deleted 83 (2.46%), changed 14 (0.42%)
