./compare_output.py ../tiger2024/ ../tiger2025/

01001.csv: added 848 (13.47%), deleted 766 (12.16%), changed 51 (0.81%)
01003.csv: added 4465 (15.64%), deleted 3913 (13.71%), changed 322 (1.13%)
01005.csv: added 754 (17.51%), deleted 705 (16.37%), changed 78 (1.81%)
01007.csv: added 320 (8.58%), deleted 310 (8.31%), changed 55 (1.47%)
01009.csv: added 2110 (15.83%), deleted 2388 (17.92%), changed 254 (1.91%)
01011.csv: added 365 (23.10%), deleted 316 (20.00%), changed 35 (2.22%)
01013.csv: added 846 (24.44%), deleted 721 (20.83%), changed 88 (2.54%)
01015.csv: added 2953 (13.96%), deleted 2919 (13.80%), changed 291 (1.38%)
01017.csv: added 1061 (15.05%), deleted 1085 (15.39%), changed 115 (1.63%)
01019.csv: added 1407 (27.61%), deleted 1238 (24.29%), changed 197 (3.87%)
01021.csv: added 1328 (13.75%), deleted 1387 (14.36%), changed 140 (1.45%)
01023.csv: added 379 (13.31%), deleted 379 (13.31%), changed 56 (1.97%)
01025.csv: added 807 (18.23%), deleted 706 (15.95%), changed 153 (3.46%)
01027.csv: added 443 (13.38%), deleted 448 (13.53%), changed 85 (2.57%)
01029.csv: added 654 (22.46%), deleted 618 (21.22%), changed 122 (4.19%)
01031.csv: added 1023 (15.03%), deleted 854 (12.55%), changed 73 (1.07%)
01033.csv: added 1316 (12.46%), deleted 1251 (11.84%), changed 159 (1.51%)
01035.csv: added 418 (16.34%), deleted 358 (14.00%), changed 50 (1.95%)
01037.csv: added 255 (14.33%), deleted 236 (13.27%), changed 49 (2.75%)
01039.csv: added 1644 (22.98%), deleted 1214 (16.97%), changed 113 (1.58%)
01041.csv: added 547 (20.22%), deleted 500 (18.48%), changed 75 (2.77%)
01043.csv: added 2890 (17.10%), deleted 2990 (17.69%), changed 318 (1.88%)
01045.csv: added 975 (15.48%), deleted 935 (14.84%), changed 127 (2.02%)
01047.csv: added 1331 (13.28%), deleted 1320 (13.17%), changed 116 (1.16%)
01049.csv: added 1750 (14.32%), deleted 1781 (14.57%), changed 198 (1.62%)
01051.csv: added 1941 (15.69%), deleted 1861 (15.04%), changed 215 (1.74%)
01053.csv: added 838 (13.65%), deleted 806 (13.12%), changed 96 (1.56%)
01055.csv: added 2188 (12.23%), deleted 1980 (11.07%), changed 177 (0.99%)
01057.csv: added 628 (16.86%), deleted 585 (15.70%), changed 76 (2.04%)
01059.csv: added 699 (11.66%), deleted 734 (12.24%), changed 159 (2.65%)
01061.csv: added 855 (16.58%), deleted 706 (13.69%), changed 80 (1.55%)
01063.csv: added 236 (15.81%), deleted 230 (15.41%), changed 45 (3.01%)
01065.csv: added 415 (16.47%), deleted 397 (15.76%), changed 73 (2.90%)
01067.csv: added 536 (18.66%), deleted 497 (17.30%), changed 85 (2.96%)
01069.csv: added 1548 (10.19%), deleted 1465 (9.65%), changed 124 (0.82%)
01071.csv: added 1110 (12.22%), deleted 1148 (12.64%), changed 193 (2.12%)
01073.csv: added 12480 (13.98%), deleted 10992 (12.31%), changed 833 (0.93%)
01075.csv: added 549 (16.23%), deleted 522 (15.43%), changed 95 (2.81%)
01077.csv: added 2335 (17.51%), deleted 2106 (15.79%), changed 215 (1.61%)
01079.csv: added 1065 (13.66%), deleted 1230 (15.77%), changed 77 (0.99%)
01081.csv: added 2503 (15.95%), deleted 2343 (14.93%), changed 190 (1.21%)
01083.csv: added 1837 (13.16%), deleted 1740 (12.47%), changed 94 (0.67%)
01085.csv: added 479 (22.78%), deleted 436 (20.73%), changed 65 (3.09%)
01087.csv: added 535 (14.90%), deleted 537 (14.96%), changed 103 (2.87%)
01089.csv: added 9211 (19.80%), deleted 11802 (25.36%), changed 1432 (3.08%)
01091.csv: added 604 (16.43%), deleted 463 (12.60%), changed 62 (1.69%)
01093.csv: added 1435 (22.08%), deleted 1306 (20.09%), changed 209 (3.22%)
01095.csv: added 1874 (11.90%), deleted 1742 (11.06%), changed 133 (0.84%)
01097.csv: added 9933 (18.53%), deleted 12389 (23.11%), changed 1835 (3.42%)
01099.csv: added 952 (23.28%), deleted 815 (19.93%), changed 125 (3.06%)
01101.csv: added 1985 (8.40%), deleted 1697 (7.18%), changed 127 (0.54%)
01103.csv: added 2622 (15.63%), deleted 2451 (14.61%), changed 206 (1.23%)
01105.csv: added 243 (17.95%), deleted 211 (15.58%), changed 46 (3.40%)
01107.csv: added 410 (12.41%), deleted 342 (10.35%), changed 44 (1.33%)
01109.csv: added 721 (15.43%), deleted 649 (13.89%), changed 82 (1.75%)
01111.csv: added 866 (16.45%), deleted 868 (16.48%), changed 150 (2.85%)
01113.csv: added 900 (12.23%), deleted 830 (11.28%), changed 96 (1.30%)
01115.csv: added 3458 (28.47%), deleted 3027 (24.92%), changed 385 (3.17%)
01117.csv: added 2862 (10.57%), deleted 2806 (10.36%), changed 290 (1.07%)
01119.csv: added 267 (9.88%), deleted 264 (9.77%), changed 51 (1.89%)
